run_id,layer,head,metric,value
20260528_023,1,3,cka_ablated,0.8722336929480385
20260528_023,1,3,cka_delta_vs_baseline,-0.00981345072161155
20260528_024,-1,-1,baseline_cka,0.8461993405073721
20260528_024,0,0,cka_ablated,0.8158003283535338
20260528_024,0,0,cka_delta_vs_baseline,-0.030399012153838334
20260528_024,0,1,cka_ablated,0.8374955196911744
20260528_024,0,1,cka_delta_vs_baseline,-0.008703820816197694
20260528_024,0,2,cka_ablated,0.8544476421172521
20260528_024,0,2,cka_delta_vs_baseline,0.008248301609879993
20260528_024,0,3,cka_ablated,0.8919195836006555
20260528_024,0,3,cka_delta_vs_baseline,0.045720243093283375
20260528_024,1,0,cka_ablated,0.8322693004416605
20260528_024,1,0,cka_delta_vs_baseline,-0.013930040065711635
20260528_024,1,1,cka_ablated,0.8344344424114715
20260528_024,1,1,cka_delta_vs_baseline,-0.011764898095900644
20260528_024,1,2,cka_ablated,0.8370022532697299
20260528_024,1,2,cka_delta_vs_baseline,-0.009197087237642232
20260528_024,1,3,cka_ablated,0.8315977809515083
20260528_024,1,3,cka_delta_vs_baseline,-0.014601559555863841
20260528_025,-1,-1,baseline_cka,0.9038139436541356
20260528_025,0,0,cka_ablated,0.8792765422196774
20260528_025,0,0,cka_delta_vs_baseline,-0.02453740143445815
20260528_025,0,1,cka_ablated,0.8995655830120078
20260528_025,0,1,cka_delta_vs_baseline,-0.0042483606421277464
20260528_025,0,2,cka_ablated,0.9057770079988434
20260528_025,0,2,cka_delta_vs_baseline,0.001963064344707832
20260528_025,0,3,cka_ablated,0.9129566382662281
20260528_025,0,3,cka_delta_vs_baseline,0.009142694612092495
20260528_025,1,0,cka_ablated,0.9007682936710082
20260528_025,1,0,cka_delta_vs_baseline,-0.0030456499831273964
20260528_025,1,1,cka_ablated,0.8971359059191856
20260528_025,1,1,cka_delta_vs_baseline,-0.006678037734950015
20260528_025,1,2,cka_ablated,0.9029775027722444
20260528_025,1,2,cka_delta_vs_baseline,-0.0008364408818911651
20260528_025,1,3,cka_ablated,0.8872609285624699
20260528_025,1,3,cka_delta_vs_baseline,-0.016553015091665735
20260528_026,-1,-1,baseline_cka,0.7959542079589617
20260528_026,0,0,cka_ablated,0.8009588074050508
20260528_026,0,0,cka_delta_vs_baseline,0.0050045994460891086
20260528_026,0,1,cka_ablated,0.7838102180386188
20260528_026,0,1,cka_delta_vs_baseline,-0.012143989920342824
20260528_026,0,2,cka_ablated,0.7952906041224571
20260528_026,0,2,cka_delta_vs_baseline,-0.0006636038365045449
20260528_026,0,3,cka_ablated,0.8042241758635664
20260528_026,0,3,cka_delta_vs_baseline,0.00826996790460477
20260528_026,1,0,cka_ablated,0.7829196835613054
20260528_026,1,0,cka_delta_vs_baseline,-0.013034524397656289
20260528_026,1,1,cka_ablated,0.7879546620697387
20260528_026,1,1,cka_delta_vs_baseline,-0.007999545889222914
20260528_026,1,2,cka_ablated,0.7975174752027058
20260528_026,1,2,cka_delta_vs_baseline,0.0015632672437441153
20260528_026,1,3,cka_ablated,0.7817436362851777
20260528_026,1,3,cka_delta_vs_baseline,-0.014210571673783923
20260528_027,-1,-1,baseline_cka,0.9108361293292747
20260528_027,0,0,cka_ablated,0.8691899095600866
20260528_027,0,0,cka_delta_vs_baseline,-0.04164621976918814
20260528_027,0,1,cka_ablated,0.8931746881306074
20260528_027,0,1,cka_delta_vs_baseline,-0.017661441198667305
20260528_027,0,2,cka_ablated,0.9250615472532323
20260528_027,0,2,cka_delta_vs_baseline,0.014225417923957595
20260528_027,0,3,cka_ablated,0.8617582496027725
20260528_027,0,3,cka_delta_vs_baseline,-0.04907787972650224
20260528_027,1,0,cka_ablated,0.903810020524073
20260528_027,1,0,cka_delta_vs_baseline,-0.007026108805201714
20260528_027,1,1,cka_ablated,0.9080139407610561
20260528_027,1,1,cka_delta_vs_baseline,-0.0028221885682185865
20260528_027,1,2,cka_ablated,0.8948259716020499
20260528_027,1,2,cka_delta_vs_baseline,-0.016010157727224805
20260528_027,1,3,cka_ablated,0.9118044241554883
20260528_027,1,3,cka_delta_vs_baseline,0.0009682948262136337
20260528_028,-1,-1,baseline_cka,0.9203953145067617
20260528_028,0,0,cka_ablated,0.8558242804552265
20260528_028,0,0,cka_delta_vs_baseline,-0.06457103405153519
20260528_028,0,1,cka_ablated,0.8611995135725807
20260528_028,0,1,cka_delta_vs_baseline,-0.059195800934180975
20260528_028,0,2,cka_ablated,0.8850638201770925
20260528_028,0,2,cka_delta_vs_baseline,-0.0353314943296692
20260528_028,0,3,cka_ablated,0.9683800897180319
20260528_028,0,3,cka_delta_vs_baseline,0.0479847752112702
20260528_028,1,0,cka_ablated,0.9168819065454159
20260528_028,1,0,cka_delta_vs_baseline,-0.0035134079613458047
20260528_028,1,1,cka_ablated,0.9093592081357386
20260528_028,1,1,cka_delta_vs_baseline,-0.011036106371023147
20260528_028,1,2,cka_ablated,0.9236293933079438
20260528_028,1,2,cka_delta_vs_baseline,0.0032340788011820942
20260528_028,1,3,cka_ablated,0.9108829920461277
20260528_028,1,3,cka_delta_vs_baseline,-0.009512322460634048
20260528_029,-1,-1,baseline_cka,0.8878603665603522
20260528_029,0,0,cka_ablated,0.883796164736007
20260528_029,0,0,cka_delta_vs_baseline,-0.004064201824345193
20260528_029,0,1,cka_ablated,0.8928199376982995
20260528_029,0,1,cka_delta_vs_baseline,0.004959571137947316
20260528_029,0,2,cka_ablated,0.8457586428038227
20260528_029,0,2,cka_delta_vs_baseline,-0.04210172375652943
20260528_029,0,3,cka_ablated,0.8890695849167654
20260528_029,0,3,cka_delta_vs_baseline,0.0012092183564131886
20260528_029,1,0,cka_ablated,0.8733820211137159
20260528_029,1,0,cka_delta_vs_baseline,-0.014478345446636287
20260528_029,1,1,cka_ablated,0.8757165630042525
20260528_029,1,1,cka_delta_vs_baseline,-0.012143803556099675
20260528_029,1,2,cka_ablated,0.8747101259480421
20260528_029,1,2,cka_delta_vs_baseline,-0.013150240612310071
